reviewText,sentiment
"This product can in a timely manner and in perfect condition. My little toy poodle loves this playpen so much that she'd rather sleep in it, which shows me that it is very much so built for the comfort of pets.",1
Not too impressed.,0
"I'm using these as a replacement for the small filter bag that came with my ceramic cat fountain. Their size and shape offer greater surface area coverage and fit well in the space around my pump. I especially like that they have tight drawstrings rather than zippers, and the fact that there are four of them means they'll last a long, long time.",1
Too small even for one bunny.  Mine couldn't even stand up in it.,0
"Great at scaring off my cat but does absolutely nothing to stop her from doing the same thing later, sometimes even within minutes of using it. So its not exactly the deterrent I was hoping for.",0
Great dog food my dogs love it and haven't had any issues on it at all. I open feed my dogs and have been feeding them this dog for about a year now. As stated in several of the other reviews that there dogs have put on weight when switching to this dog food I have NOT had that issue. My dogs have stayed the same weight and they only go for walks 2-3 times a week and less that 2 miles on each walk. I would recommend this dog food to anyone who wants there dog eat well.,1
"This leash is as advertised. However, it is not for me.

There are not very many good uses for a heavy 30 foot leash. This will always be dragging along the ground, getting wet and muddy, tangling around legs, etc.

If i were to buy another 30 ft leash, I would something that keeps the leash taught so it doesn't drag along the ground.

This may be useful for tying a dog up in a yard, but remember that a dog tied up in the yard can choke itself and should never be left tied up alone.",0
Works Ok but the specification are ambiguous. I wanted a 12vDC pump and when this arrived I found it to be 12vAC. Had to return it.,0
I have a mini yorkie and she doesn't jump out or try to push it down. I'm trying really hard to potty train on pee pads and I think this will help drastically. I will prob buy the pee pad tray made by the same company soon.,1
fine for the price.,1
"So disappointed.  He is a medium in size for his disposable diapers.  But the medium is to small for him.  We were looking forward to having something that would stay on, when he crawls under things.  Great return tho.",0
My corgi loves loves his red bone...especially when I spray some Kong liver/bacon and cheese treats!,1
"After 2 months it burned up and causes a fire at the plug, thank god every thing was on a surge protector and its all that i lost.",0
3 out of my 4 cats will not touch this.  Pretty pricey for alot of gravy & grain & little meat.,0
"Good unit, wished I would have bought it sooner. I made a big mistake by not buying sooner. Do not make the same mistake I did.",1
Supposed to be tough  She tore it up in two days!!,0
"This filter works great when you first buy it. However, I can no longer get the main o-ring to seal and the canister leaks excessively.",0
My small dogs (10lbs) were afraid of the ball. We returned it.,0
"I had very high hopes for this system. I read so many positive reviews, and several negative ones. I know this had about a 50/50 shot of working. Sadly it failed in our home. We probably could have kept with it a little longer, but cleaning up cad feces and urine off my bathroom floor got old real fast!  He did great with the first step.. But as soon as we added the second step with a hole in the middle he began having more and more accidents. Then ultimately kwit the system all together. We're were so disappointed it didn't work out. Back to the litter box, which sucks to clean, but at least it's not all over my floor. Very very disappointed. And our cat is about 5 months old, so we had expected him to catch on quickly. Cats are just not meant to use the potty I guess.",0
cute but very tiny. my little one loves it.,1
Not as advertised.  It looks like a cave but it's more like a bed with a blanket on top.  Roof of cave does not stay up.  Very disappointed!,0
Not very durable. Have only had about 1 month and there's a hole in the area that the dog sleeps. If I wash it it may make it worse.,0
A very Good complement to dog food.,1
